dataset = celebA
experiments = /home/uzahid/workspace/QDCGAN/PyTorch/experiments
dry_run = False
log_freq = 50
export = False
resume = None
evaluate = False
fid = False
gpus = [0]
num_workers = 4
batch_size = 128
lr = 0.0002
scheduler = FIXED
epochs = 100
random_seed = None
examples = 1
size = 32
gen_ch = 64
weight_bitwidth = 32
activation_bitwidth = 32
io_bitwidth = 8
Epoch: [5/100[1251/1582]	Discriminator Loss -17.7446 (-19.6871)	Generator Loss 5.0566 (6.9301)	
Epoch: [5/100[1301/1582]	Discriminator Loss -17.0861 (-19.6239)	Generator Loss 10.3339 (6.9279)	
Epoch: [5/100[1351/1582]	Discriminator Loss -19.9597 (-19.5773)	Generator Loss -2.8651 (6.8615)	
Epoch: [5/100[1401/1582]	Discriminator Loss -18.4003 (-19.5197)	Generator Loss 5.6942 (6.8606)	
Epoch: [5/100[1451/1582]	Discriminator Loss -20.3157 (-19.4699)	Generator Loss 5.1829 (6.8241)	
Epoch: [5/100[1501/1582]	Discriminator Loss -16.7275 (-19.4278)	Generator Loss 9.2749 (6.8445)	
Epoch: [5/100[1551/1582]	Discriminator Loss -17.1044 (-19.3627)	Generator Loss 6.3191 (6.8084)	
Epoch: [5/100[1582/1582]	Discriminator Loss -19.6165 (-19.3287)	Generator Loss 5.3101 (6.8169)	
FPS: 15813.240838485899
Image generated at /home/uzahid/workspace/QDCGAN/PyTorch/experiments/W32A32_20211008/random_results/epoch_I8W32A32.png
Saving checkpoint model to /home/uzahid/workspace/QDCGAN/PyTorch/experiments/W32A32_20211008/checkpoints/checkpoint_I8W32A32.tar
Epoch: [6/100[1/1582]	Discriminator Loss -17.5451 (-17.5451)	Generator Loss 2.4331 (2.4331)	
Epoch: [6/100[51/1582]	Discriminator Loss -22.0616 (-18.7094)	Generator Loss 16.5187 (6.1263)	
Epoch: [6/100[101/1582]	Discriminator Loss -19.1704 (-18.1481)	Generator Loss -0.6325 (6.6799)	
Epoch: [6/100[151/1582]	Discriminator Loss -18.1514 (-17.7831)	Generator Loss 8.0460 (6.5782)	
Epoch: [6/100[201/1582]	Discriminator Loss -18.1637 (-17.7231)	Generator Loss 15.1761 (6.7612)	
Epoch: [6/100[251/1582]	Discriminator Loss -17.5329 (-17.6485)	Generator Loss 17.2980 (6.5963)	
Epoch: [6/100[301/1582]	Discriminator Loss -14.6383 (-17.6375)	Generator Loss 8.3802 (6.6013)	
Epoch: [6/100[351/1582]	Discriminator Loss -19.4693 (-17.6701)	Generator Loss 5.8234 (6.5725)	
Epoch: [6/100[401/1582]	Discriminator Loss -17.7782 (-17.6006)	Generator Loss 3.3198 (6.6192)	
Epoch: [6/100[451/1582]	Discriminator Loss -16.6230 (-17.5434)	Generator Loss 0.9339 (6.4308)	
Epoch: [6/100[501/1582]	Discriminator Loss -17.1053 (-17.4611)	Generator Loss 7.4439 (6.5185)	
Epoch: [6/100[551/1582]	Discriminator Loss -17.3853 (-17.4346)	Generator Loss 6.4754 (6.6330)	
Epoch: [6/100[601/1582]	Discriminator Loss -16.6724 (-17.3894)	Generator Loss 6.6965 (6.6121)	
Epoch: [6/100[651/1582]	Discriminator Loss -17.6523 (-17.3589)	Generator Loss 14.6787 (6.6727)	
Epoch: [6/100[701/1582]	Discriminator Loss -16.2109 (-17.3051)	Generator Loss 5.3999 (6.6023)	
Epoch: [6/100[751/1582]	Discriminator Loss -14.1822 (-17.2613)	Generator Loss 3.7898 (6.5359)	
Epoch: [6/100[801/1582]	Discriminator Loss -15.7790 (-17.2120)	Generator Loss 6.7439 (6.6315)	
Epoch: [6/100[851/1582]	Discriminator Loss -15.0881 (-17.1633)	Generator Loss 5.9441 (6.5330)	
Epoch: [6/100[901/1582]	Discriminator Loss -16.4481 (-17.1161)	Generator Loss 12.9331 (6.5349)	
Epoch: [6/100[951/1582]	Discriminator Loss -15.2785 (-17.0881)	Generator Loss 5.9560 (6.5407)	
Epoch: [6/100[1001/1582]	Discriminator Loss -17.0132 (-17.0534)	Generator Loss 7.4296 (6.6629)	
Epoch: [6/100[1051/1582]	Discriminator Loss -14.7540 (-17.0307)	Generator Loss 2.2346 (6.6027)	
